"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","46077","user can add a product to cart @smoke @regression","firefox","2026-06-06","broken","2026-06-06","Cart","cart.spec.ts","",""
"","41431","user can complete checkout @smoke @regression","firefox","2026-06-06","broken","2026-06-06","Checkout Process","checkout.spec.ts","",""
"","17062","invalid login: locked out user @regression","firefox","2026-06-06","passed","2026-06-06","Login — Data Driven","login-data-driven.spec.ts","",""
"","8594","valid login: standard user @regression","chromium","2026-06-06","passed","2026-06-06","Login — Data Driven","login-data-driven.spec.ts","",""
"","5930","Login with valid credentials","chromium","2026-06-06","passed","2026-06-06","","login.spec.ts","",""
"","41064","user can remove a product from cart @smoke @regression","firefox","2026-06-06","broken","2026-06-06","Cart","cart.spec.ts","",""
"","8348","valid login: problem user @regression","chromium","2026-06-06","passed","2026-06-06","Login — Data Driven","login-data-driven.spec.ts","",""
"","40838","valid login: performance glitch user @regression","firefox","2026-06-06","broken","2026-06-06","Login — Data Driven","login-data-driven.spec.ts","",""
"","8839","user can add a product to cart @smoke @regression","chromium","2026-06-06","passed","2026-06-06","Cart","cart.spec.ts","",""
"","9970","user can complete checkout @smoke @regression","chromium","2026-06-06","passed","2026-06-06","Checkout Process","checkout.spec.ts","",""
"","13456","invalid login: invalid credentials @regression","firefox","2026-06-06","passed","2026-06-06","Login — Data Driven","login-data-driven.spec.ts","",""
"","6608","invalid login: invalid credentials @regression","chromium","2026-06-06","passed","2026-06-06","Login — Data Driven","login-data-driven.spec.ts","",""
"","43868","valid login: standard user @regression","firefox","2026-06-06","broken","2026-06-06","Login — Data Driven","login-data-driven.spec.ts","",""
"","14032","valid login: performance glitch user @regression","chromium","2026-06-06","passed","2026-06-06","Login — Data Driven","login-data-driven.spec.ts","",""
"","40837","valid login: problem user @regression","firefox","2026-06-06","broken","2026-06-06","Login — Data Driven","login-data-driven.spec.ts","",""
"","30775","Login with valid credentials","firefox","2026-06-06","broken","2026-06-06","","login.spec.ts","",""
"","6852","invalid login: empty credentials @regression","chromium","2026-06-06","passed","2026-06-06","Login — Data Driven","login-data-driven.spec.ts","",""
"","47763","invalid login: empty credentials @regression","firefox","2026-06-06","broken","2026-06-06","Login — Data Driven","login-data-driven.spec.ts","",""
"","9240","user can remove a product from cart @smoke @regression","chromium","2026-06-06","passed","2026-06-06","Cart","cart.spec.ts","",""
"","6100","invalid login: locked out user @regression","chromium","2026-06-06","passed","2026-06-06","Login — Data Driven","login-data-driven.spec.ts","",""
